NE_STATE,Short name,SITE_NAME,RPT_AREA,RPT_REGION,VBT_MICRO_CLUSTER
Active,01JKB196,_WISMA_ASIA1,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB197,TENABANGTUBUN_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB198,KAPUKPULO_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB199,HERMINA_DAANMOGOT_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB200,RPTRASUGRIWA_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB201,KRENDANGSELATAN_BL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB202,PALMERAHBARAT_JK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB203,BAWANGMERAH_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB204,KEDOYASASAK_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB205,RUKORAWABOKOR_KN,BOTABEK,Jabotabek,MC-KARAWACI
Active,01JKB206,_ST_MORITZ3,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB208,KEBONJERUK_BARU_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB209,PALMERAH_BARAT_PL,JAKARTA,Jabotabek,MC-KEBAYORAN
Active,01JKB210,MADRASAH_RAWABUAYA_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB211,PULAU_PUTRI_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB212,DAANMOGOT_SWADAYA_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB213,KEMANGGISAN_ILIR_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB214,SULAIMAN_PALMERAH_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB215,DURIKOSAMBI_IF,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB216,KOTA_BAMBU_SELATAN_JK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB217,PEDONGKELAN_CENGKARENG_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB218,RAMINKEMBANGAN_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB219,ALMUBAROK_JOGLO_IF,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB220,PERDANA_KUSUMA_BL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB221,HAJI_DAUD_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB222,JAMSONS_MALL_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB223,MANUNGGAL_MERUYA_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB224,TMNKENCANACGK_ST,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB225,MERPATI_PEGADUNGAN_IF,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB226,JELAMBAR_MADYA_LS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB228,RUKO_KUSNAEDI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB229,ANGKE,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB230,KEDAUNG_DM,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB231,PEKOJAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB233,REGENCY_KBJRK_XL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB235,HAJISANUSI_CENGKARENG_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB236,TMN_KEDOYA_BR,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB237,TEGAL_GARDEN,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB238,ARIES_PURI,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB239,CITY_GARDEN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB243,_APT_TJNGDRN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB244,BUDI_SWADAYA_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB246,LIMAS_KEDOYA_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB247,_RS_HUSADA,JAKARTA,Jabotabek,MC-CEMPAKA KEMAYORAN TANAH ABANG
Active,01JKB250,_H_MEGA_ANGGREK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB251,ANGGREK_KEMANGGISAN_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB262,MM_KELAPADUA_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB267,KOMPLEKS_DPR_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB268,PRIMA_INDAH,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB269,_APT_WESTLINK,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB272,MIC_PINANGSIA2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB273,JL_PETA_UTARA,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB282,PRISMA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB283,UTAN_JATI_IF,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB289,_AP_SOMMERSET,JAKARTA,Jabotabek,MC-KEBAYORAN
Active,01JKB290,_RS_JTG_HRP_KITA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB291,SEMANAN_08_XL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB293,PALM_LESTARI_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB296,_W_KALIANDRA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB297,_UNI_MERCUBUANA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB298,_RS_PURI_INDAH,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB307,_APT_GLORIA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB314,_HAYAM_WURUK,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB321,CIPUK_KAMALBENDA_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB322,_WISMA_BCA_SLIPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB348,_APT_T_ANGGREK2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB349,POJOK_KAMAL_BL,JAKARTA,Jabotabek,MC-TANJUNG PRIOK
Active,01JKB351,MASJID_ALFALAH_BL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB352,MANGGA_BESAR2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB353,LAPANGAN_BOLA_BL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB355,_HOTEL_SPARKS,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB356,MIC_UNTARGROGOL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB357,RAWA_KEDAUNG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB359,_IBIS_SLIPI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB360,_AP_GAJAH_MADA,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB363,KELAPA_DUA,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB364,JELAMBAR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB365,_APT_PURIGARDEN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB366,MIC_PEKOJAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB373,_GLODOK_BLUSTRU,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB374,_MERCURE_REKSO,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB375,JELAMBAR_BARU,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB376,_JAMESONS_MALL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB377,_RS_CENGKARENG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB378,KPG_MALANG_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB381,_WISMA_AKR,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB385,_BINUS_SYAHDAN,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB386,_BINUS_KIJANG,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB387,_RS_HERMINA_DMG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB388,VILA_MERUYA_ST,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB389,KPG_UTAN_ST,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB390,ANYAR_JELAMBAR_PL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB394,PALAPA_TB,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB395,TAMAN_KOTA_TB,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB396,SUKABUMI_UTR_ST,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB397,TMN_COSMOS_TB,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB398,PREPEDAN_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB399,KEDOYA_UTARA_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB403,KATAMSO_PL,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB404,MERUYA_KEMBANGAN_PL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB406,RAYA_JOGLO_PL,JAKARTA,Jabotabek,MC-KEBAYORAN
Active,01JKB408,_UNTAR1,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB410,TANJUNG_PURA_PL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB411,KESELAMATAN_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB412,GRIYA_PERMATA_ST,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB413,KEMBANG_SAKTI_ST,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB414,_GRAHA_MATAPEL,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB415,_UNTAR2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB418,_PSR_PALMERAH,JAKARTA,Jabotabek,MC-CEMPAKA KEMAYORAN TANAH ABANG
Active,01JKB421,SEMANAN_PT_AIR_XL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB422,POS_PENGUMBEN,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB423,GARUDA_XL,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB425,_CENTRAL_PARK2,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB430,MIC_JELAMBAR,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB432,PURIKENCANA_TB,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB433,SRENGSENG_KBJERUK_TB,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB434,_SEASON_CITY,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB435,_APT_CITYRESORT,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB440,_RSNM_CNGKRENG,JAKARTA,Jabotabek,MC-CENGKARENG
Active,01JKB441,_INDOVISION2,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB442,_S2_TRISAKTI,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB443,KELURAHAN_SRENGSENG_ST,JAKARTA,Jabotabek,MC-KEBON JERUK-KEMBANGAN
Active,01JKB444,MIC_PINTU_KCL3,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB445,KEMUKUS_TB,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB446,ANGKE_SAWAH_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB447,SC_AL_IJTIHAD_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB448,SC_MANGGA_BESAR4_IF,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB449,RUKO_ANTA_DSS_IB,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
Active,01JKB450,ADAM_AIR_TRAVEL_ST,JAKARTA,Jabotabek,MC-GROGOL TAMANSARI
